step,episode/return,episode/length,track/luigi_circuit_tt/episode_return,track/luigi_circuit_tt/episode_length,env_steps,grad_steps,replay/capacity,replay/fill_ratio,env/id,reward/checkpoint,reward/offroad,reward/wall,reward/finish,reward/position,reward/total,track_sampler/luigi_circuit_tt/weight
30646,-9.509320874069052,327,-9.509320874069052,327,30646,0,30642,0.15321,3,0.090679125930952,0.0,-9.600000000000003,0.0,0.0,-9.509320874069052,1.0
31060,-7.9208991520093885,269,-7.9208991520093885,269,31060,0,31054,0.15527,0,0.1791008479906165,0.0,-8.100000000000007,0.0,0.0,-7.9208991520093885,1.0
31066,-12.758731672121124,248,-12.758731672121124,248,31066,0,31062,0.15531,2,0.0912683278788691,0.0,-12.849999999999993,0.0,0.0,-12.758731672121124,1.0
31577,-9.104623518819396,229,-9.104623518819396,229,31577,0,31571,0.157855,1,0.09537648118060568,0.0,-9.200000000000001,0.0,0.0,-9.104623518819396,1.0
31594,-17.30947791290282,265,-17.30947791290282,265,31594,0,31590,0.15795,3,0.14052208709716799,0.0,-17.44999999999999,0.0,0.0,-17.30947791290282,1.0
31927,-29.057640386830133,244,-29.057640386830133,244,31927,0,31921,0.159605,0,0.09235961316979449,0.0,-29.149999999999928,0.0,0.0,-29.057640386830133,1.0
32603,-16.95982220351176,251,-16.95982220351176,251,32603,0,32597,0.162985,3,0.09017779648822287,0.0,-17.04999999999998,0.0,0.0,-16.95982220351176,1.0
32626,-20.346553576386455,268,-20.346553576386455,268,32626,0,32620,0.1631,1,0.10344642361350681,0.0,-20.44999999999996,0.0,0.0,-20.346553576386455,1.0
32823,-16.65659206713801,240,-16.65659206713801,240,32823,0,32817,0.164085,0,0.09340793286199155,0.0,-16.75,0.0,0.0,-16.65659206713801,1.0
33023,0.06375801459602687,439,0.06375801459602687,439,33023,0,33017,0.165085,2,0.16375801459602687,0.0,-0.1,0.0,0.0,0.06375801459602687,1.0
33624,-23.342151364533752,267,-23.342151364533752,267,33624,0,33618,0.16809,1,0.15784863546620245,0.0,-23.499999999999954,0.0,0.0,-23.342151364533752,1.0
33645,-13.384986608422315,284,-13.384986608422315,284,33645,0,33640,0.1682,3,0.21501339157767912,0.0,-13.599999999999994,0.0,0.0,-13.384986608422315,1.0
33681,-15.479660277491025,222,-15.479660277491025,222,33681,0,33675,0.168375,0,0.07033972250896951,0.0,-15.549999999999994,0.0,0.0,-15.479660277491025,1.0
34435,-4.740663440870204,211,-4.740663440870204,211,34435,0,34429,0.172145,3,0.05933655912979789,0.0,-4.8000000000000025,0.0,0.0,-4.740663440870204,1.0
34524,-2.9427582738295843,241,-2.9427582738295843,241,34524,0,34518,0.17259,1,0.10724172617041546,0.0,-3.05,0.0,0.0,-2.9427582738295843,1.0
34938,0.2714132142481597,419,0.2714132142481597,419,34938,0,34932,0.17466,2,0.3714132142481597,0.0,-0.1,0.0,0.0,0.2714132142481597,1.0
35203,-0.8356907922495966,337,-0.8356907922495966,337,35203,0,35197,0.175985,0,0.1643092077504033,0.0,-1.0,0.0,0.0,-0.8356907922495966,1.0
35328,-16.319143697406925,236,-16.319143697406925,236,35328,0,35322,0.17661,3,0.08085630259306535,0.0,-16.399999999999988,0.0,0.0,-16.319143697406925,1.0
35431,-1.1029007060838782,225,-1.1029007060838782,225,35431,0,35425,0.177125,1,0.09709929391612179,0.0,-1.2000000000000002,0.0,0.0,-1.1029007060838782,1.0
35966,-16.018649073144648,251,-16.018649073144648,251,35966,0,35960,0.1798,2,0.1313509268553361,0.0,-16.149999999999984,0.0,0.0,-16.018649073144648,1.0
36115,-9.029134402482411,221,-9.029134402482411,221,36115,0,36109,0.180545,0,0.07086559751759405,0.0,-9.100000000000005,0.0,0.0,-9.029134402482411,1.0
36250,-5.541801106660266,252,-5.541801106660266,252,36250,0,36244,0.18122,3,0.1581988933397376,0.0,-5.700000000000004,0.0,0.0,-5.541801106660266,1.0
